Filename       Segment     Maxemg-L   Maxemg-V
P1_TIMMI_0041     1       101.00     0.0352
P1_TIMMI_0041     2       116.00     0.0076
P1_TIMMI_0041     3        39.00     0.0073
P1_TIMMI_0041     4       129.00     0.0050
P1_TIMMI_0041     5        23.00     0.0055
P1_TIMMI_0041     6        89.00     0.0076
P1_TIMMI_0041     7        69.00     0.0053
P1_TIMMI_0041     8        53.00     0.0096
P1_TIMMI_0041     9       125.00     0.0072
P1_TIMMI_0041    10        92.00     0.0083
P1_TIMMI_0041    11        89.00     0.0258
P1_TIMMI_0041    12        44.00     0.0046
P1_TIMMI_0041    13        31.00     0.0090
P1_TIMMI_0041    14       149.00     0.0047
P1_TIMMI_0041    15        46.00     0.0066
P1_TIMMI_0041    16        31.00     0.0120
P1_TIMMI_0041    17       129.00     0.0080
P1_TIMMI_0041    18        20.00     0.0055
P1_TIMMI_0041    19       144.00     0.0091
P1_TIMMI_0041    20        96.00     0.0060
P1_TIMMI_0041    21        24.00     0.0101
P1_TIMMI_0041    22        20.00     0.0057
P1_TIMMI_0041    23        20.00     0.0063
P1_TIMMI_0041    24        30.00     0.0071
P1_TIMMI_0041    25       130.00     0.0054
P1_TIMMI_0041    26        23.00     0.0044
P1_TIMMI_0041    27        95.00     0.0056
P1_TIMMI_0041    28        48.00     0.0052
P1_TIMMI_0041    29        53.00     0.0123
P1_TIMMI_0041    30       115.00     0.0058
P1_TIMMI_0041    31        90.00     0.0054
P1_TIMMI_0041    32        82.00     0.0067
P1_TIMMI_0041    33       149.00     0.0165
P1_TIMMI_0041    34        91.00     0.0061
P1_TIMMI_0041    35       149.00     0.0072
P1_TIMMI_0041    36        67.00     0.0044
