Filename       Segment     Maxemg-L   Maxemg-V
P1_TIMMI_0041     1        20.00     0.0163
P1_TIMMI_0041     2        20.00     0.0394
P1_TIMMI_0041     3        78.00     0.0099
P1_TIMMI_0041     4        26.00     0.0113
P1_TIMMI_0041     5       106.00     0.0425
P1_TIMMI_0041     6       149.00     0.0070
P1_TIMMI_0041     7        20.00     0.0049
P1_TIMMI_0041     8        81.00     0.0064
P1_TIMMI_0041     9        58.00     0.0064
P1_TIMMI_0041    10       149.00     0.0133
P1_TIMMI_0041    11        44.00     0.0169
P1_TIMMI_0041    12        20.00     0.0069
P1_TIMMI_0041    13       100.00     0.0080
P1_TIMMI_0041    14       124.00     0.0058
P1_TIMMI_0041    15        38.00     0.0090
P1_TIMMI_0041    16       101.00     0.0069
P1_TIMMI_0041    17        84.00     0.0051
P1_TIMMI_0041    18        37.00     0.0094
P1_TIMMI_0041    19        34.00     0.0116
P1_TIMMI_0041    20        56.00     0.0054
P1_TIMMI_0041    21       112.00     0.0325
P1_TIMMI_0041    22        20.00     0.0059
P1_TIMMI_0041    23        37.00     0.0083
P1_TIMMI_0041    24       149.00     0.0071
P1_TIMMI_0041    25       138.00     0.0048
P1_TIMMI_0041    26       104.00     0.0062
P1_TIMMI_0041    27        20.00     0.0050
P1_TIMMI_0041    28       142.00     0.0102
P1_TIMMI_0041    29        97.00     0.0044
P1_TIMMI_0041    30       122.00     0.0036
P1_TIMMI_0041    31       125.00     0.0063
P1_TIMMI_0041    32       110.00     0.0042
P1_TIMMI_0041    33        87.00     0.0085
P1_TIMMI_0041    34       149.00     0.0048
P1_TIMMI_0041    35       149.00     0.0108
P1_TIMMI_0041    36        20.00     0.0069
P1_TIMMI_0041    37        42.00     0.0147
